,Customer,Date,Rating,Review Title,Review Body
209,MAQBUL AHMAD BAROTE,2020-07-08,5.0,Just go for it.,  Nice
210,Bilal Khan,2020-09-03,1.0,best phone,  Best phone
211,Wasimkhan Shabaskhan pathan,2020-08-13,4.0,Good,  Good to use
212,Amazon Customer,2020-08-16,5.0,ok phone,  Its alright
213,Amazon Customer,2020-09-06,5.0,Good quality,  Best phone
214,Ashis Swain,2021-03-05,4.0,Very good,  Good phone
215,Dileep,2020-11-28,5.0,Ok,  Na
216,VM,2020-06-05,5.0,Nice 👍,  Nice one
217,sajjad,2020-06-04,1.0,बेकार हैं,  बेकार है
218,Ganji.venkatesh,2021-01-21,4.0,good phone,  liked the phone
219,Pandurang V B Patil,2020-11-15,2.0,Over heating,  Battery is overheating while charging
220,Kumud Lakra,2020-07-26,5.0,Fine,  Average
221,mohit patel,2021-02-13,5.0,Product,  Good Product
222,Amazon Customer,2020-08-01,4.0,Love,  Super
223,Anil Kumar,2021-01-29,5.0,I'm satisfied,  Good
224,srinivasan,2021-03-19,4.0,Overall good,  Good
225,Senthamilkumar,2020-07-06,5.0,Good,  Fine
226,Manas Goswami,2020-09-22,5.0,CLARITY OF PICTURE,  GOOD
227,savit,2020-09-03,5.0,awesome,  good
228,VM,2020-06-05,5.0,Good,  Good
229,sajjad,2020-06-04,1.0,good,  nice
230,Sharvan kumar,2020-09-11,5.0,Value for money,  Just awesome
231,nanda ballabh joshi,2020-08-01,5.0,Worth money,  Amazing
232,Pradeep,2020-12-10,5.0,Excellent craftsmanship,  Excellent product quality
233,pooja,2020-10-08,5.0,Nice,  Nice phone offered by Samsung
234,Anwar,2020-07-28,5.0,Happily  say proudly that I purchased indian,  I want a Indian model made in indiaOnly one phone available in 22000 range but not best at all... less performance power not smooth not best at all poor in display figure scanner charge time high
235,B Vishnu Kiran,2020-08-07,5.0,Budget Flagship!!!!!,"  Good camera, feels lite excellent product!"
236,Sathyanarayana,2020-07-11,4.0,Genuine Review A31,  Purchased from samsung online store.My review will help other customers to valuate the product.Review based on 3 weeks of usage.Battery: Device comes with 5000 mah.Power with stands for one day on over all usage with 4g internet.Charger: 15 w.It takes 2hr long for full charge.Good battery back up for 100% charge.Camera:I m not a pro.It is okay for samsung mid range device.Processor:No idea on snap dragon vs samsung processor.I don't find any issues on multitasking.Screen: smooth as butter and vedio resolutions are good.Finally A31 is good for commercial users.Vast storage and enough features.
